Agency Name [District] 2022-23,State Name [District] Latest available year,State Name [District] 2022-23,Agency ID - NCES Assigned [District] Latest available year,Total Number of Public Schools [Public School] 2022-23,Locale [District] 2022-23,Simple Locale,CBSA Name [District] 2022-23,Total Students All Grades (Excludes AE) [District] 2022-23,American Indian/Alaska Native Students [District] 2022-23,Asian or Asian/Pacific Islander Students [District] 2022-23,Hispanic Students [District] 2022-23,Black or African American Students [District] 2022-23,White Students [District] 2022-23,Nat. Hawaiian or Other Pacific Isl. Students [District] 2022-23,Two or More Races Students [District] 2022-23,County Name [District] 2022-23
Anchorage School District,Alaska,ALASKA,200180,97,11-City: Large,City,Anchorage AK,43727,4283,4272,5189,1954,17922,3085,7022,Anchorage Municipality
Conway Public Schools,Arkansas,ARKANSAS,504590,16,13-City: Small,City,Little Rock-North Little Rock-Conway AR,10251,20,171,1292,3009,5086,9,664,Faulkner County
Farmington Public Schools,Arkansas,ARKANSAS,506090,5,41-Rural: Fringe,Rural,Fayetteville-Springdale-Rogers AR,2685,21,14,267,81,2091,7,204,Washington County
Siloam Springs School District,Arkansas,ARKANSAS,512450,6,32-Town: Distant,Town,Fayetteville-Springdale-Rogers AR,4612,188,159,1609,42,2183,33,398,Benton County
William S. Hart Union High School District,California,CALIFORNIA,642510,16,21-Suburb: Large,Suburb,Los Angeles-Long Beach-Anaheim CA,21011,25,2847,9287,921,6947,37,941,Los Angeles County
Academy School District 20,Colorado,COLORADO,801920,40,11-City: Large,City,Colorado Springs CO,25719,81,1083,4136,739,17526,72,2082,El Paso County
Cherry Creek School District,Colorado,COLORADO,802910,70,11-City: Large,City,Denver-Aurora-Lakewood CO,52392,260,4706,11561,6192,25047,154,4472,Arapahoe County
Greeley-Evans Weld County School District 6,Colorado,COLORADO,804410,35,12-City: Mid-size,City,Greeley CO,22200,76,490,14257,553,6284,95,445,Weld County
Bay District Schools,Florida,FLORIDA,1200090,49,22-Suburb: Mid-size,Suburb,Panama City FL,27324,85,483,3578,3855,17192,73,2058,Bay County
Brevard Public Schools,Florida,FLORIDA,1200150,113,21-Suburb: Large,Suburb,Palm Bay-Melbourne-Titusville FL,74125,162,1649,11943,10892,43264,151,6064,Brevard County
