Title,Author,Secondary Author(s),Illustrator(s),Translator(s),Series,State,District,Date of Challenge/Removal,Type of Ban,Origin of Challenge
47,"Mosley, Walter",,,,,Texas,Keller Independent School District,November 2021,Banned from Classrooms,Formal Challenge
47,"Mosley, Walter",,,,,Texas,Keller Independent School District,July 2022,Banned Pending Investigation,Formal Challenge
"¡Solo pregunta!: Sé Diferente, Sé Valiente, Sé Tú","Sotomayor, Sonia",,"López, Rafael","Mlawer, Teresa",,Pennsylvania,Central York School District,August 2021,Banned from Classrooms,Administrator
¡Vámonos! Let's Go!,"Lainez, Rene Colato",,"Cepeda, Joe",,,Pennsylvania,Central York School District,August 2021,Banned from Classrooms,Administrator
¿De Dónde Eres?/Where Are You From?,"Mendez, Yamile Saied",,,,,Pennsylvania,Central York School District,August 2021,Banned from Classrooms,Administrator
"""Multiplication Is for White People"": Raising Expectations for Other People's Children","Delpit, Lisa",,,,,Pennsylvania,Central York School District,August 2021,Banned from Classrooms,Administrator
#BlackLivesMatter: Protesting Racism,"Thomas, Rachael L.",,,,,Florida,Indian River County Schools,November 2021,Banned Pending Investigation,Administrator
#BlackLivesMatter: Protesting Racism,"Thomas, Rachael L.",,,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
#Hockey,"Ukazu, Ngozi",,,,"Check, Please!",Florida,Clay County School District,July 2022,Banned Pending Investigation,Administration/Formal Challenge
#Hockey,"Ukazu, Ngozi",,,,"Check, Please!",Georgia,Forsyth County Schools,December 2021,Banned from Libraries and Classrooms,Formal Challenge
#Hockey,"Ukazu, Ngozi",,,,"Check, Please!",Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
#Hockey,"Ukazu, Ngozi",,,,"Check, Please!",Texas,Frisco Independent School District,November 2022,Banned from Libraries and Classrooms,Informal Challenge
#Hockey,"Ukazu, Ngozi",,,,"Check, Please!",Texas,Prosper Independent School District,March 2022,Banned from Libraries and Classrooms,Administrator
#MurderTrending,"McNeil, Gretchen",,,,Murder Trending,Kansas,Goddard Public Schools,November 2021,Banned Pending Investigation,Administrator
10 Things I Can See from Here,"Mac, Carrie",,,,,Florida,Escambia County Public Schools,June 2023,Banned Pending Investigation,Formal Challenge
10 Things I Can See from Here,"Mac, Carrie",,,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
10 Things I Can See from Here,"Mac, Carrie",,,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
"10,000 Dresses","Ewert, Marcus",,"Ray, Rex",,,Florida,Clay County School District,July 2022,Banned Pending Investigation,Administration/Formal Challenge
"10,000 Dresses","Ewert, Marcus",,"Ray, Rex",,,Florida,Duval County Public Schools,January 2022,Banned Pending Investigation,Administrator
"10,000 Dresses","Ewert, Marcus",,"Ray, Rex",,,Florida,Seminole County Public Schools,July 2022,Banned from Libraries,Formal Challenge
"100 Questions You'd Never Ask Your Parents: Straight Answers to Teens' Questions About Sex, Sexuality, and Health","Henderson, Elisabeth","Armstrong, Nancy",,,,Texas,Klein Independent School District,December 2021,Banned Pending Investigation,Administrator
"1001 Comics You Must Read Before You Die: The Ultimate Guide to Comic Books, Graphic Novels, and Manga","Gravett, Paul",,,,,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
101 Questions About Reproduction: Or How 1 + 1 = 3 or 4 or More,"Brynie, Faith Hickman",,,,,Texas,North East Independent School District,December 2021,Banned from Libraries,Administrator
101 Questions About Reproduction: Or How 1 + 1 = 3 or 4 or More,"Brynie, Faith Hickman",,,,,Utah,Washington County School District,February 2023,Banned from Libraries,Administration
"101 Questions About Sex and Sexuality: With Answers for the Curious, Cautious, and Confused","Brynie, Faith Hickman",,,,,Texas,North East Independent School District,December 2021,Banned from Libraries,Administrator
11/22/63: A Novel,"King, Stephen",,,,,Virginia,Madison County Public Schools,January 2023,Banned from Libraries and Classrooms,Administration
13 Art Inventions Children Show Know,"Heine, Florian",,,,13... Children Should Know,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
14 Cows for America,"Deedy, Carmen Agra","Naiyomah, Wilson Kimeli","Gonzalez, Thomas",,,Florida,Duval County Public Schools,January 2022,Banned Pending Investigation,Administrator
19 Love Songs,"Levithan, David",,,,,Florida,Clay County School District,July 2022,Banned Pending Investigation,Administration/Formal Challenge
19 Love Songs,"Levithan, David",,,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
1984,"Orwell, George",,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
1984,"Orwell, George",,,,,Texas,Frisco Independent School District,January 2023,Banned from Libraries,Administration
1984: The Graphic Novel,"Orwell, George",,"Nesti, Fido",,,Missouri,Kirkwood School District,October 2022,Banned from Libraries and Classrooms,Legislative Action
1984: The Graphic Novel,"Orwell, George",,"Nesti, Fido",,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
"20,000 Leagues Under the Sea (Graphic Novel)","Verne, Jules","Bowen, Carl","Ruiz, Jose Alfonso",,Graphic Revolve: Common Core Editions,Texas,Frisco Independent School District,September 2022,Banned from Libraries,Administration
25 Women Who Dared to Go,"Lassieur, Allison",,,,,Pennsylvania,Central York School District,August 2021,Banned from Classrooms,Administrator
25 Women Who Fought Back,"Sherman, Jill",,,,,Pennsylvania,Central York School District,August 2021,Banned from Classrooms,Administrator
25 Women Who Ruled,"Stanborough, Rebecca J.",,,,,Pennsylvania,Central York School District,August 2021,Banned from Classrooms,Administrator
25 Women Who Thought of It First,"Sherman, Jill",,,,,Pennsylvania,Central York School District,August 2021,Banned from Classrooms,Administrator
33 Snowfish,"Rapp, Adam",,"Ering, Timothy Basil",,,Florida,Clay County School District,July 2022,Banned from Libraries and Classrooms,Administration/Formal Challenge
33 Snowfish,"Rapp, Adam",,"Ering, Timothy Basil",,,Florida,Martin County Schools,March 2023,Banned from Libraries and Classrooms,Formal Challenge
33 Snowfish,"Rapp, Adam",,"Ering, Timothy Basil",,,Idaho,Nampa School District,May 2022,Banned from Libraries and Classrooms,Administrator
33 Snowfish,"Rapp, Adam",,"Ering, Timothy Basil",,,Michigan,Gladwin Community Schools,May 2022,Banned Pending Investigation,Administrator
33 Snowfish,"Rapp, Adam",,"Ering, Timothy Basil",,,Virginia,Spotsylvania County Public Schools,November 2021,Banned Pending Investigation,Administrator
"47,000 Beads","Adeyoha, Koja","Adeyoha, Angel","McGillis, Holly",,,Pennsylvania,Central York School District,August 2021,Banned from Classrooms,Administrator
50 Artists You Should Know,"Köster, Thomas","Röper, Lars",,,50 You Should Know,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
50 Paintings You Should Know,"Lowis, Kristina","Pickeral, Tamsin",,,50 You Should Know,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
50 Sculptures You Should Know,"Kühl, Isabel","Reichold, Klaus",,,50 You Should Know,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
50 Women Artists You Should Know,"Weidemann, Christiane","Larass, Petra; Klier, Melanie",,,,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
642 Things to Write About,San Francisco Writers' Grotto,,,,,Ohio,Hudson City Schools,September 2021,Banned from Classrooms,Administrator
7 Days at the Hot Corner,"Trueman, Terry",,,,,Texas,Granbury Independent School District,January 2022,Banned Pending Investigation,Administrator
7 Days at the Hot Corner,"Trueman, Terry",,,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
A + E 4ever,"Merey, I.",,,,,Texas,Keller Independent School District,July 2022,Banned from Libraries and Classrooms,Formal Challenge
A Baby Doesn't Make the Man: Alternative Sources of Power and Manhood for Young Men,"Jamiolkowski, Raymond",,,,,Texas,Texarkana Independent School District,October 2022,Banned Pending Investigation,Informal Challenge
A Bad Boy Can Be Good for a Girl,"Stone, Tanya Lee",,,,,Florida,Clay County School District,July 2022,Banned Pending Investigation,Administration/Formal Challenge
A Bad Boy Can Be Good for a Girl,"Stone, Tanya Lee",,,,,Florida,Indian River County Schools,November 2021,Banned Pending Investigation,Administrator
A Bad Boy Can Be Good for a Girl,"Stone, Tanya Lee",,,,,Florida,Lake County Schools,July 2022,Banned from Libraries and Classrooms,Legislative Action
A Bad Boy Can Be Good for a Girl,"Stone, Tanya Lee",,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
A Better Bad Idea,"Devore, Laurie",,,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
A Big Mooncake for Little Star,"Lin, Grace",,,,,Pennsylvania,Central York School District,August 2021,Banned from Classrooms,Administrator
A Bike Like Sergio's,"Boelts, Maribeth",,"Jones, Noah Z.",,,Pennsylvania,Central York School District,August 2021,Banned from Classrooms,Administrator
A Boy Called Bat,"Arnold, Elana K.",,"Santoso, Charles",,A Boy Called Bat,Pennsylvania,Central York School District,August 2021,Banned from Classrooms,Administrator
A Brief History of Manga,"McCarthy, Helen",,,,,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
A Case of Sense,"Daemicke, Songju Ma",,"Bersani, Shennen",,,Florida,Duval County Public Schools,January 2022,Banned Pending Investigation,Administrator
A Certain Slant of Light,"Whitcomb, Laura",,,,,Florida,Clay County School District,July 2022,Banned Pending Investigation,Administration/Formal Challenge
A Certain Slant of Light,"Whitcomb, Laura",,,,,Florida,Indian River County Schools,November 2021,Banned from Libraries,Administrator
"A Child Called ""It"": One Child's Courage to Survive","Pelzer, Dave",,,,,Florida,Clay County School District,July 2022,Banned Pending Investigation,Administration/Formal Challenge
"A Child Called ""It"": One Child's Courage to Survive","Pelzer, Dave",,,,,Michigan,Chippewa Valley Schools,January 2023,Banned from Libraries,Formal Challenge
A Child Was Born: A Christmas Story,"Maccarone, Grace",,"Williams, Sam",,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
A Child's First Bible,"Stoddard, Sandol",,"Chen, Tony",,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
A Child's Story of Christmas,"Williams, Karin",,,,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
A Clash of Kings,"Martin, George R. R.",,,,A Song of Ice and Fire,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
A Clash of Kings,"Martin, George R. R.",,,,A Song of Ice and Fire,Texas,Frisco Independent School District,September 2022,Banned from Libraries and Classrooms,Administration
A Clash of Steel: A Treasure Island Remix,"Lee, C. B.",,,,Remixed Classics,Texas,Frisco Independent School District,March 2023,Banned from Libraries,Administration
A Complicated Love Story Set in Space,"Hutchinson, Shaun David",,,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Brevard Public Schools,May 2022,Banned Pending Investigation,Administrator
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Clay County School District,July 2022,Banned from Libraries and Classrooms,Administration/Formal Challenge
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,School District of Hamilton County,March 2023,Banned from Libraries and Classrooms,Administration
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,St. John's County School District,May 2022,Banned from Libraries,Formal Challenge
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Volusia County Schools,August 2022,Banned from Libraries and Classrooms,Formal Challenge
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Missouri,Nixa Public Schools,April 2023,Banned from Libraries,Unclear
