District,State,Juvenile Proportion,YA Proportion,Mature Proportion,Nonfiction Proportion,Top Categories,Total Bans,Unique Bans
Abington Public Schools,Massachusetts,0,100,0,100,"{'Young Adult Nonfiction': 100, 'Lgbtq': 100, 'Social Topics': 100, 'Dating & Sex': 100, 'Humor': 100}",1,1
Academy School District 20,Colorado,33,33,0,33,"{'Women': 66, 'Young Adult Fiction': 33, 'Social Themes': 33, 'Emotions & Feelings': 33, 'Sexual Abuse': 33, 'Family': 33, 'Juvenile Fiction': 33, 'Biography & Autobiography': 33, 'Literary Figures': 33, 'Editors, Journalists, Publishers': 33, 'Personal Memoirs': 33, 'Law': 33, 'Legal History': 33, 'Social Science': 33, ""Women'S Studies"": 33, 'True Crime': 33, 'Sexual Assault': 33, 'Fiction': 33, 'African American & Black': 33, 'Urban & Street Lit': 33, 'Coming Of Age': 33}",3,3
Alamance-Burlington School District,North Carolina,0,0,0,100,"{'Comics & Graphic Novels': 100, 'Nonfiction': 100, 'Biography & Memoir': 100, 'Lgbtq': 100, 'Biography & Autobiography': 100}",1,1
Alpine School District,Utah,23,64,5,15,"{'Young Adult Fiction': 56, 'Social Themes': 48, 'Fiction': 25, 'Romance': 23, 'Dating & Sex': 23, 'Juvenile Fiction': 20, 'Coming Of Age': 20, 'Friendship': 17, 'Fantasy': 15, 'Epic': 12, 'Lgbtq': 12}",39,39
Anchorage School District,Alaska,0,0,0,100,"{'Comics & Graphic Novels': 100, 'Nonfiction': 100, 'Biography & Memoir': 100, 'Lgbtq': 100, 'Biography & Autobiography': 100}",1,1
Anderson School District One,South Carolina,0,0,0,0,"{'Fiction': 100, 'Dystopian': 100, 'Feminist': 100, 'Women': 100}",1,1
Ankeny Community School District,Iowa,33,33,0,33,"{'School & Education': 66, 'Comics & Graphic Novels': 33, 'Nonfiction': 33, 'Biography & Memoir': 33, 'Lgbtq': 33, 'Biography & Autobiography': 33, 'Young Adult Fiction': 33, 'Health & Daily Living': 33, 'Diseases, Illnesses & Injuries': 33, 'Humorous': 33, 'Black Comedy': 33, 'Social Themes': 33, 'Friendship': 33, 'Death, Grief, Bereavement': 33, 'Religious': 33, 'Jewish': 33, 'Juvenile Fiction': 33, 'Action & Adventure': 33, 'Juvenile Nonfiction': 33}",3,3
Bay District Schools,Florida,0,100,0,0,"{'Young Adult Fiction': 100, 'Romance': 100, 'Contemporary': 50, 'Thrillers & Suspense': 50, 'Social Themes': 50, 'Bullying': 50, 'Lgbtq': 50, 'Fantasy': 50, 'Epic': 50, 'Dark Fantasy': 50}",2,2
Beaufort County School District,South Carolina,25,60,4,7,"{'Young Adult Fiction': 58, 'Social Themes': 55, 'Romance': 31, 'Fiction': 28, 'Juvenile Fiction': 24, 'Family': 18, 'Contemporary': 17, 'Dating & Sex': 17, 'Lgbtq': 16, 'Coming Of Age': 16, 'People & Places': 13, 'United States': 13, 'Friendship': 12}",99,99
Belding Area Schools,Michigan,0,100,0,0,"{'Young Adult Fiction': 100, 'Social Themes': 100, 'Death, Grief, Bereavement': 100, 'Friendship': 100, 'Self-Esteem & Self-Reliance': 100}",1,1
